date,team,recent_win_rate,recent_avg_goals_scored,recent_avg_goals_conceded,team_rank,team_rank_points
1992-03-25,Yugoslavia,0.4,1.6,1.4,16.0,689.0
1993-11-17,Czechoslovakia,0.6,2.8,1.0,19.0,49.0
2019-09-10,Eritrea,0.0,0.4,2.2,195.0,855.56
2024-09-06,Cook Islands,0.2,0.2,3.0,190.0,877.53
2024-09-09,Tonga,0.4,2.0,2.4,199.0,835.64
2024-10-15,Turks and Caicos Islands,0.2,0.6,1.6,206.0,803.98
2024-11-18,Samoa,0.4,1.2,2.0,192.0,876.41
2025-03-21,Tahiti,0.6,1.4,1.8,153.0,1031.47
2025-06-10,Montserrat,0.4,0.6,0.8,181.0,914.26
2025-10-08,Eswatini,0.0,0.6,2.8,159.0,1015.25
2025-10-13,São Tomé and Príncipe,0.0,0.6,3.2,189.0,878.09
2025-10-13,Mauritius,0.0,0.8,2.2,179.0,923.46
2025-10-14,Seychelles,0.0,0.0,4.8,201.0,831.19
2025-10-14,Turkmenistan,0.4,1.2,1.2,143.0,1065.42
2025-10-14,Congo,0.0,1.0,1.8,128.0,1132.65
2025-11-15,Barbados,0.2,1.0,1.0,177.0,933.3
2025-11-17,Chad,0.0,1.0,2.2,176.0,935.41
2025-11-18,Bermuda,0.0,0.4,4.2,166.0,988.19
2025-11-18,Sri Lanka,0.4,1.2,1.4,200.0,832.8
2025-11-18,Nepal,0.0,0.8,1.6,175.0,939.2
2025-11-18,Antigua and Barbuda,0.0,0.2,1.0,160.0,1010.97
2025-11-18,Malaysia,1.0,3.0,0.4,132.0,1117.05
2025-11-18,Timor-Leste,0.2,0.6,2.4,196.0,850.83
2025-11-19,Laos,0.2,0.8,3.2,186.0,889.54
2025-11-23,Papua New Guinea,0.8,1.8,0.8,172.0,963.22
2025-11-25,South Sudan,0.0,0.4,2.0,170.0,973.55
2025-11-26,Yemen,0.6,3.6,0.2,158.0,1017.84
2025-11-26,Djibouti,0.0,0.4,3.8,191.0,877.37
2025-11-26,Somalia,0.2,0.4,2.0,202.0,829.81
2025-11-26,Lebanon,0.6,2.2,0.4,112.0,1168.1
2025-12-11,Palestine,0.2,0.6,1.0,101.0,1215.87
2025-12-15,United Arab Emirates,0.2,1.4,1.4,63.0,1385.57
2025-12-30,Uganda,0.2,1.0,2.2,88.0,1270.42
2026-01-03,Sudan,0.2,0.4,2.0,113.0,1165.41
2026-03-26,Suriname,0.4,1.8,1.2,138.0,1096.6
2026-03-26,Vietnam,0.8,2.2,1.0,116.0,1161.11
2026-03-26,New Caledonia,0.6,1.8,1.2,152.0,1034.43
2026-03-27,Solomon Islands,0.2,1.6,2.0,148.0,1048.75
2026-03-27,Dominica,0.2,1.2,2.0,183.0,900.0
2026-03-27,Cameroon,0.6,1.2,1.0,49.0,1471.49
2026-03-28,American Samoa,0.0,0.8,5.6,188.0,883.17
2026-03-28,Namibia,0.0,0.2,2.6,111.0,1179.26
2026-03-29,Macau,0.0,0.4,2.4,193.0,871.52
2026-03-29,Tanzania,0.0,0.6,1.2,106.0,1199.33
2026-03-29,Anguilla,0.4,1.0,3.0,209.0,769.31
2026-03-29,Cuba,0.4,1.4,1.0,164.0,994.43
2026-03-29,Bahamas,0.0,0.4,5.0,205.0,818.58
2026-03-30,Gabon,0.0,1.2,2.8,84.0,1297.87
2026-03-30,Belize,0.4,1.8,1.6,178.0,925.02
2026-03-30,Rwanda,0.4,1.0,1.0,124.0,1136.06
2026-03-30,Guyana,0.8,2.2,0.6,154.0,1030.6
2026-03-31,Gambia,0.6,3.4,1.4,124.0,1137.22
2026-03-31,Mali,0.0,0.6,0.8,51.0,1466.1
2026-03-31,Libya,0.2,0.8,0.6,118.0,1158.03
2026-03-31,Guinea-Bissau,0.2,0.6,1.6,120.0,1151.72
2026-03-31,Botswana,0.0,0.4,2.4,136.0,1098.85
2026-03-31,Zambia,0.0,0.8,2.0,87.0,1279.24
2026-05-16,Grenada,0.4,1.2,1.8,174.0,955.44
2026-05-26,Burundi,0.0,0.0,1.2,139.0,1087.26
2026-05-30,Zimbabwe,0.2,1.4,1.6,121.0,1151.06
2026-05-31,Singapore,0.4,1.6,1.4,161.0,1007.83
2026-06-01,Maldives,0.0,0.2,2.2,162.0,1001.39
2026-06-01,North Macedonia,0.0,0.2,2.2,67.0,1368.96
2026-06-02,Madagascar,0.6,2.2,1.6,115.0,1162.02
2026-06-03,Poland,0.4,1.6,1.8,35.0,1510.62
2026-06-03,British Virgin Islands,0.6,2.8,1.2,207.0,780.3
2026-06-03,Israel,0.2,1.2,2.2,76.0,1322.25
2026-06-03,Dominican Republic,0.2,1.0,0.8,141.0,1083.36
2026-06-04,Guinea,0.2,1.4,1.2,78.0,1311.88
2026-06-04,Bhutan,0.0,0.4,3.4,182.0,904.06
2026-06-04,Serbia,0.4,0.8,2.0,32.0,1514.28
2026-06-04,Lesotho,0.2,0.4,1.4,150.0,1046.76
2026-06-04,Kenya,0.4,1.0,2.4,108.0,1189.65
2026-06-05,Puerto Rico,0.6,1.6,1.6,157.0,1022.83
2026-06-05,Georgia,0.2,1.2,1.8,68.0,1362.21
2026-06-05,Slovakia,0.6,1.6,2.2,41.0,1486.19
2026-06-05,Finland,0.4,1.4,1.2,69.0,1361.53
2026-06-05,Mongolia,0.2,0.6,3.0,187.0,883.57
2026-06-05,Republic of Ireland,0.6,2.2,0.8,60.0,1400.22
2026-06-05,Syria,0.4,0.8,0.4,95.0,1249.47
2026-06-05,Malta,0.2,1.0,2.6,169.0,983.95
2026-06-05,Bulgaria,0.6,2.6,1.2,82.0,1301.04
2026-06-05,Bangladesh,0.2,1.4,2.0,185.0,898.81
2026-06-05,Montenegro,0.6,1.8,1.4,73.0,1326.76
2026-06-05,Kuwait,0.2,1.4,1.8,134.0,1109.16
2026-06-05,Nicaragua,0.2,0.8,1.8,133.0,1114.28
2026-06-05,Oman,0.2,0.6,1.0,80.0,1306.67
2026-06-05,Bahrain,0.4,1.4,2.0,81.0,1305.52
2026-06-05,Thailand,0.8,3.0,0.8,97.0,1228.24
2026-06-06,Wales,0.4,2.2,0.8,29.0,1534.39
2026-06-06,El Salvador,0.2,0.6,2.0,83.0,1300.81
2026-06-06,Chile,0.8,2.2,1.6,50.0,1469.44
2026-06-06,Guam,0.4,1.8,3.0,203.0,821.91
2026-06-06,Aruba,0.6,2.2,1.4,195.0,858.0
2026-06-06,Luxembourg,0.0,0.0,2.0,92.0,1256.42
2026-06-06,Fiji,0.0,0.0,4.4,147.0,1049.15
2026-06-06,Honduras,0.2,1.0,0.8,75.0,1325.93
2026-06-06,Jamaica,0.6,0.8,0.8,62.0,1390.85
2026-06-06,Vanuatu,0.4,1.6,1.2,163.0,996.21
2026-06-06,Albania,0.2,0.4,1.2,65.0,1375.57
2026-06-06,Cayman Islands,0.4,1.4,0.8,194.0,866.71
2026-06-06,Romania,0.2,1.8,1.6,38.0,1494.2
2026-06-06,Gibraltar,0.2,1.0,2.6,197.0,848.58
2026-06-07,Ukraine,0.6,1.2,1.4,25.0,1554.94
2026-06-07,Guatemala,0.4,1.4,3.2,105.0,1201.35
2026-06-07,Greece,0.2,1.0,1.0,54.0,1455.95
2026-06-07,Andorra,0.2,0.4,1.4,171.0,971.54
2026-06-07,Kosovo,0.4,1.6,1.4,99.0,1219.82
2026-06-07,Denmark,0.2,2.0,1.6,21.0,1611.49
2026-06-07,Italy,0.6,1.4,1.0,9.0,1731.51
2026-06-07,Slovenia,0.2,1.0,1.4,55.0,1454.25
2026-06-07,Cyprus,0.2,1.2,2.0,130.0,1131.32
2026-06-07,Liechtenstein,0.2,0.4,2.8,204.0,821.71
2026-06-08,Peru,0.2,1.2,1.6,40.0,1488.42
2026-06-08,Mauritania,0.0,0.6,1.4,109.0,1183.16
2026-06-08,Niger,0.0,0.8,1.2,122.0,1145.96
